passportArea,weight,currentTeamId,birthDate,height,role,wyId,foot,shortName
"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}",78,4502.0,1989-06-17,187,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",32777,right,H. Tekin
"{'name': 'Senegal', 'id': '686', 'alpha3code': 'SEN', 'alpha2code': 'SN'}",73,3775.0,1999-01-23,182,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",393228,left,M. Sarr
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",72,3772.0,1998-10-26,176,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",393230,,O. Mandanda
"{'name': 'Senegal', 'id': '686', 'alpha3code': 'SEN', 'alpha2code': 'SN'}",82,683.0,1990-03-06,187,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",32793,right,A. N'Diaye
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",84,2975.0,1999-05-25,192,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",393247,right,I. Konat\u00e9
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",83,676.0,1989-04-22,185,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",33,right,J. Cillessen
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",91,1624.0,1989-03-02,187,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",36,right,T. Alderweireld
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",88,1624.0,1987-04-24,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",48,left,J. Vertonghen
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",74,3783.0,1994-08-09,182,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",229427,right,A. Djiku
"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}",76,1624.0,1992-02-14,180,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",54,right,C. Eriksen
"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",74,2975.0,1994-03-17,177,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",65596,right,M. Sabitzer
"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",84,3770.0,1990-03-14,186,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",66,right,K. Sig\u00fe\u00f3rsson
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",74,3795.0,1992-01-01,180,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",393284,left,C. Traor\u00e9
"{'name': 'Finland', 'id': '246', 'alpha3code': 'FIN', 'alpha2code': 'FI'}",75,2443.0,1985-09-29,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",77,left,N. Moisander
"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",91,2455.0,1989-08-21,191,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",91,right,C. Benschop
"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",77,1646.0,1990-10-27,186,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",93,left,J. Gu\u00f0munds\u00adson
